Название,Капитализация,P/E,P/BV,P/S,P/FCF,EV/S,EV/EBIT,Debt/Equity,ROE,Price
Tencent Holdings Limited,417533.5355,15.59,3.75,5.29,30.82,5.37,13.53,1.02,24.11,326.4
Kuaishou Technology,28531.8195,-14.65,5.03,2.13,-82.82,1.76,-13.85,1.24,-34.36,51.05
China Tower Corporation,22197.5293,17.76,0.81,1.69,4.28,2.26,14.31,0.58,4.54,0.97
SenseTime Group Inc,11042.7558,-12.84,2.68,20.38,-9.41,17.34,-10.52,0.29,-21.00,2.28
Kingsoft Corp Ltd,5745.7456,-6.68,1.67,5.29,19.56,2.84,-3.89,0.32,-22.11,32.05
TravelSky Technology Limited,5628.8323,63.16,2.00,7.59,37.99,5.54,38.63,0.28,3.44,14.7
Kingdee International Software,5171.3152,-93.41,4.91,7.47,-70.82,7.03,-73.28,0.58,-6.11,11.64
China Literature Limited,4610.6710,30.08,1.75,3.59,26.56,2.83,17.54,0.29,5.83,33.9
Tongcheng-Elong Holdings,4582.0889,-220.60,2.01,4.89,-139.62,4.22,-114558.77,0.57,-1.02,15.26
"China Communications Services ",3793.9192,7.94,0.64,0.19,7.24,0.02,0.77,1.65,8.36,4.19
GDS Holdings Limited,3270.9089,-15.76,0.95,2.47,-3.16,5.14,53.34,2.09,-5.24,12.32
Chinasoft International Limite,2016.7470,18.67,1.17,0.71,33.40,0.55,11.62,0.4,6.25,5.2
XD Inc,1506.2741,-19.13,5.56,3.09,-25.27,2.57,-17.51,1.52,-30.12,24.15
Weimob Inc,1448.6965,-5.57,4.54,5.54,-7.58,5.08,-5.14,2.56,-85.66,3.72
Maoyan Entertainment,1233.0634,82.40,1.06,3.74,137.78,2.90,33.89,0.25,1.28,8.41
NetDragon Websoft Holdings Lim,1040.5065,8.77,1.11,0.93,9.47,0.69,5.09,0.67,11.58,15.1
Ming Yuan Cloud Group Holdings,978.4525,-5.96,1.35,3.79,-10.83,1.22,-1.91,0.21,-22.75,3.91
CMGE Technology Group Limited,855.6179,-29.33,1.06,2.22,-11.06,2.29,-44.38,0.26,-3.81,2.29
Mobvista Inc,809.9880,54.47,3.29,0.91,46.46,0.84,45.96,1.43,4.11,3.83
Tongdao Liepin Group,634.3227,100.50,1.33,1.69,37.69,0.59,13.5,0.47,2.68,9.45
"iDreamSky Technology Holdings ",618.0685,-1.74,2.42,1.59,-33.95,2.06,-2.3,1.41,-144.32,3.31
IMAX China Holding Inc,301.0330,28.21,1.30,4.14,283.17,3.29,15.63,0.4,4.62,6.68
Joy Spreader Interactive Techn,287.0525,-6.64,0.93,0.60,-4.01,0.45,-5.08,0.16,-14.05,1.0
Newborn Town Inc,277.7020,15.00,1.58,0.70,6.47,0.43,4.17,0.39,23.21,1.62
BC Technology Group Limited,150.8064,-2.19,1.80,10.22,7.00,1.79,-0.39,2.81,-83.42,2.64
Alibaba Group, 215309, 46.65,1.36,1.69,9.32,1.29,10.58,0.6,2.19,82.65
JD.com, 56472, 37.93, 1.44, 0.38, 11.28,0.21, 13.53, 1.17, 3.54,135.0
NetEase, 57330,19.65,3.67,4.14,15.95,3.21,15.78,0.59,18.23,138.4
Baidu, 3158,39.80,1.27,2.43,16.93,1.70,16.17,0.64,3.17,115.6
BiliBili, 8317,-1,3.80,2.65,-1,2.45,-1,1.74,-49.26,145.5